payment_id,user_id,payment_date,amount,is_refund
1,5,2026-01-30,30,0
2,13,2026-01-12,100,0
3,14,2026-01-28,20,0
4,18,2026-01-24,20,0
5,21,2026-01-29,100,0
6,27,2026-01-27,30,0
7,37,2026-02-14,20,0
8,51,2026-01-26,20,0
9,60,2026-01-22,20,0
10,61,2026-01-27,30,0
11,72,2026-01-27,20,0
12,74,2026-02-06,50,0
13,76,2026-02-08,50,0
14,91,2026-01-09,100,0
15,95,2026-02-17,20,0
16,112,2026-02-18,100,0
17,116,2026-01-30,20,0
18,123,2026-02-11,50,0
19,129,2026-02-08,30,0
20,130,2026-01-25,100,0
21,133,2026-01-22,50,0
22,140,2026-01-14,20,0
23,142,2026-02-05,30,0
24,146,2026-01-04,20,0
25,148,2026-02-02,20,0
26,149,2026-02-08,50,0
27,153,2026-02-14,50,0
28,172,2026-01-28,30,0
29,177,2026-01-18,20,0
30,184,2026-01-29,100,0
31,188,2026-01-31,100,0
32,191,2026-02-02,30,0
33,204,2026-01-29,100,0
34,217,2026-02-21,30,0
35,218,2026-02-06,30,0
36,222,2026-02-06,30,0
37,233,2026-02-24,20,0
38,236,2026-02-01,20,0
39,250,2026-01-27,50,0
40,253,2026-02-04,20,0
41,261,2026-02-11,30,0
42,262,2026-01-20,100,0
43,263,2026-02-01,20,0
44,264,2026-01-20,20,0
45,266,2026-01-26,50,0
46,269,2026-02-01,100,0
47,270,2026-01-14,100,0
48,274,2026-01-22,50,0
49,277,2026-02-04,30,0
50,287,2026-02-13,30,0
51,292,2026-02-01,20,0
52,295,2026-01-18,30,0
53,297,2026-02-02,30,0
54,305,2026-01-20,20,0
55,308,2026-01-13,20,0
56,325,2026-01-21,50,0
57,327,2026-02-12,30,0
58,333,2026-01-24,20,0
59,344,2026-01-30,50,0
60,347,2026-02-07,30,0
61,366,2026-01-25,100,0
62,369,2026-01-22,20,0
63,370,2026-01-22,50,0
64,385,2026-02-19,50,0
65,387,2026-01-30,20,0
66,396,2026-01-20,50,0
67,402,2026-02-02,30,0
68,423,2026-01-29,30,0
69,427,2026-02-04,20,0
70,433,2026-01-19,30,0
71,468,2026-02-15,20,0
72,470,2026-01-28,20,0
73,486,2026-02-19,50,0
74,488,2026-02-13,50,0
75,493,2026-01-27,30,0
76,494,2026-01-20,30,0
77,507,2026-01-31,30,0
78,517,2026-02-03,100,0
79,525,2026-02-01,20,0
80,531,2026-01-27,20,0
81,548,2026-01-21,20,0
82,551,2026-02-11,50,0
83,553,2026-02-03,50,0
84,557,2026-01-15,30,0
85,558,2026-01-23,30,0
86,561,2026-01-28,100,0
87,566,2026-01-20,30,0
88,567,2026-02-01,20,0
89,575,2026-02-13,20,0
90,587,2026-02-15,50,0
91,594,2026-02-13,20,0
92,601,2026-01-14,20,0
93,603,2026-02-24,50,0
94,612,2026-01-23,20,0
95,626,2026-02-10,50,0
96,645,2026-01-10,100,0
97,667,2026-02-04,50,0
98,681,2026-01-29,100,0
99,688,2026-02-04,20,0
100,692,2026-01-19,30,0
101,711,2026-01-18,100,0
102,722,2026-01-16,20,0
103,725,2026-01-06,30,0
104,739,2026-02-13,30,0
105,742,2026-02-05,50,0
106,747,2026-01-23,100,0
107,761,2026-01-22,50,0
108,770,2026-01-29,30,0
109,780,2026-01-24,50,0
110,785,2026-01-30,50,0
111,787,2026-02-07,100,0
112,788,2026-01-17,20,0
113,790,2026-02-01,50,0
114,798,2026-02-03,50,0
115,800,2026-02-12,100,0
116,809,2026-01-13,50,0
117,819,2026-01-21,30,0
118,827,2026-01-06,50,0
119,830,2026-01-30,20,0
120,837,2026-01-30,30,0
121,839,2026-01-30,30,0
122,844,2026-01-21,20,0
123,845,2026-02-24,100,0
124,851,2026-02-10,50,0
125,852,2026-02-09,50,0
126,862,2026-01-01,30,0
127,864,2026-02-09,30,0
128,869,2026-02-06,20,0
129,874,2026-02-09,30,0
130,895,2026-02-04,30,0
131,897,2026-01-23,100,0
132,899,2026-01-18,20,0
133,914,2026-01-26,100,0
134,915,2026-01-28,100,0
135,916,2026-02-10,30,0
136,935,2026-01-22,50,0
137,950,2026-01-08,50,0
138,951,2026-02-10,50,0
139,970,2026-02-15,30,0
140,975,2026-02-02,20,0
141,977,2026-02-06,100,0
142,978,2026-01-17,30,0
143,983,2026-01-26,30,0
