user_id,registration_date,country,device,experiment_group
1,2026-01-07,US,mobile,A
2,2026-01-20,US,mobile,B
3,2026-01-29,UK,desktop,B
4,2026-01-15,US,mobile,A
5,2026-01-11,UK,mobile,A
6,2026-01-08,US,desktop,A
7,2026-01-29,DE,mobile,A
8,2026-01-21,US,desktop,A
9,2026-01-07,US,mobile,B
10,2026-01-26,FR,desktop,A
11,2026-01-19,UK,mobile,B
12,2026-01-23,US,mobile,A
13,2026-01-11,US,desktop,B
14,2026-01-11,FR,mobile,B
15,2026-01-24,FR,desktop,B
16,2026-01-21,UK,mobile,B
17,2026-01-04,FR,desktop,B
18,2026-01-08,DE,desktop,B
19,2026-01-24,FR,desktop,A
20,2026-01-03,DE,desktop,B
21,2026-01-22,UK,mobile,A
22,2026-01-21,UK,mobile,B
23,2026-01-02,UK,desktop,B
24,2026-01-24,UK,desktop,A
25,2026-01-12,UK,desktop,B
26,2026-01-30,DE,mobile,A
27,2026-01-06,DE,mobile,A
28,2026-01-02,UK,mobile,A
29,2026-01-28,FR,mobile,A
30,2026-01-21,US,desktop,B
31,2026-01-01,UK,desktop,B
32,2026-01-12,FR,desktop,A
33,2026-01-26,US,mobile,B
34,2026-01-22,UK,mobile,B
35,2026-01-29,UK,mobile,A
36,2026-01-12,DE,desktop,B
37,2026-01-25,US,desktop,A
38,2026-01-17,US,mobile,A
39,2026-01-27,FR,desktop,B
40,2026-01-27,DE,mobile,B
41,2026-01-10,DE,mobile,B
42,2026-01-28,DE,desktop,A
43,2026-01-28,DE,mobile,A
44,2026-01-16,US,desktop,B
45,2026-01-15,US,mobile,B
46,2026-01-30,UK,desktop,B
47,2026-01-30,UK,desktop,B
48,2026-01-15,DE,desktop,A
49,2026-01-30,DE,mobile,B
50,2026-01-19,DE,mobile,A
51,2026-01-12,UK,desktop,A
52,2026-01-23,FR,desktop,B
53,2026-01-20,FR,mobile,B
54,2026-01-25,UK,mobile,B
55,2026-01-03,UK,mobile,A
56,2026-01-05,UK,desktop,B
57,2026-01-19,UK,mobile,B
58,2026-01-07,UK,mobile,A
59,2026-01-21,UK,desktop,B
60,2026-01-09,DE,mobile,A
61,2026-01-07,DE,mobile,B
62,2026-01-18,DE,mobile,A
63,2026-01-04,DE,desktop,B
64,2026-01-25,UK,desktop,B
65,2026-01-28,FR,desktop,A
66,2026-01-14,US,desktop,A
67,2026-01-18,UK,desktop,B
68,2026-01-26,US,desktop,A
69,2026-01-09,FR,desktop,A
70,2026-01-26,DE,mobile,A
71,2026-01-21,FR,mobile,A
72,2026-01-02,UK,desktop,B
73,2026-01-20,DE,mobile,B
74,2026-01-28,UK,mobile,A
75,2026-01-15,DE,desktop,A
76,2026-01-28,US,mobile,A
77,2026-01-07,US,mobile,A
78,2026-01-12,US,mobile,B
79,2026-01-29,FR,mobile,B
80,2026-01-08,UK,mobile,A
81,2026-01-15,FR,desktop,A
82,2026-01-03,US,desktop,A
83,2026-01-14,UK,desktop,B
84,2026-01-17,US,mobile,A
85,2026-01-04,FR,desktop,B
86,2026-01-18,FR,mobile,A
87,2026-01-08,FR,mobile,B
88,2026-01-04,US,mobile,A
89,2026-01-02,UK,mobile,B
90,2026-01-30,UK,desktop,A
91,2026-01-06,US,desktop,A
92,2026-01-22,UK,mobile,A
93,2026-01-10,US,desktop,B
94,2026-01-04,UK,mobile,A
95,2026-01-22,DE,desktop,B
96,2026-01-29,DE,desktop,B
97,2026-01-18,FR,mobile,A
98,2026-01-26,DE,desktop,A
99,2026-01-12,DE,mobile,A
100,2026-01-02,DE,desktop,B
101,2026-01-10,US,mobile,A
102,2026-01-30,DE,mobile,B
103,2026-01-04,DE,desktop,B
104,2026-01-14,FR,desktop,A
105,2026-01-16,DE,mobile,A
106,2026-01-15,DE,desktop,A
107,2026-01-08,UK,desktop,A
108,2026-01-14,FR,mobile,A
109,2026-01-23,FR,mobile,A
110,2026-01-28,FR,desktop,B
111,2026-01-25,FR,mobile,B
112,2026-01-30,FR,mobile,B
113,2026-01-08,FR,mobile,A
114,2026-01-21,US,desktop,B
115,2026-01-16,DE,desktop,B
116,2026-01-13,FR,mobile,B
117,2026-01-18,DE,desktop,B
118,2026-01-15,DE,mobile,B
119,2026-01-21,US,desktop,A
120,2026-01-24,FR,mobile,A
121,2026-01-26,UK,mobile,B
122,2026-01-25,US,desktop,B
123,2026-01-28,UK,mobile,B
124,2026-01-28,DE,desktop,A
125,2026-01-28,DE,desktop,A
126,2026-01-13,US,mobile,B
127,2026-01-09,US,mobile,A
128,2026-01-29,UK,desktop,A
129,2026-01-15,FR,mobile,B
130,2026-01-13,UK,mobile,A
131,2026-01-01,US,mobile,A
132,2026-01-25,UK,mobile,B
133,2026-01-07,US,mobile,A
134,2026-01-09,UK,desktop,A
135,2026-01-24,US,desktop,B
136,2026-01-01,US,mobile,A
137,2026-01-12,US,mobile,A
138,2026-01-08,FR,mobile,B
139,2026-01-24,UK,desktop,B
140,2026-01-11,UK,mobile,B
141,2026-01-19,UK,desktop,A
142,2026-01-17,US,desktop,B
143,2026-01-08,UK,desktop,A
144,2026-01-03,UK,mobile,B
145,2026-01-03,US,desktop,A
146,2026-01-01,DE,mobile,B
147,2026-01-27,US,desktop,B
148,2026-01-05,UK,mobile,B
149,2026-01-10,US,desktop,B
150,2026-01-07,DE,mobile,A
151,2026-01-26,US,desktop,B
152,2026-01-09,UK,mobile,B
153,2026-01-28,DE,mobile,A
154,2026-01-07,FR,mobile,B
155,2026-01-09,UK,mobile,A
156,2026-01-08,DE,desktop,B
157,2026-01-12,DE,desktop,B
158,2026-01-02,FR,mobile,B
159,2026-01-01,US,desktop,A
160,2026-01-16,US,mobile,B
161,2026-01-23,UK,mobile,B
162,2026-01-23,FR,desktop,B
163,2026-01-30,US,mobile,A
164,2026-01-24,FR,mobile,A
165,2026-01-05,US,desktop,B
166,2026-01-03,DE,mobile,A
167,2026-01-12,US,mobile,B
168,2026-01-08,FR,mobile,B
169,2026-01-22,DE,mobile,B
170,2026-01-27,DE,desktop,B
171,2026-01-03,DE,desktop,B
172,2026-01-01,FR,desktop,B
173,2026-01-03,UK,mobile,B
174,2026-01-05,UK,mobile,A
175,2026-01-15,UK,desktop,A
176,2026-01-14,FR,mobile,A
177,2026-01-03,DE,mobile,A
178,2026-01-01,UK,mobile,A
179,2026-01-05,FR,mobile,A
180,2026-01-26,UK,desktop,A
181,2026-01-23,US,desktop,B
182,2026-01-14,UK,desktop,B
183,2026-01-07,UK,mobile,B
184,2026-01-27,DE,desktop,B
185,2026-01-09,FR,desktop,A
186,2026-01-15,DE,mobile,A
187,2026-01-15,DE,mobile,B
188,2026-01-26,DE,desktop,B
189,2026-01-10,DE,desktop,A
190,2026-01-28,DE,desktop,B
191,2026-01-13,UK,desktop,B
192,2026-01-19,DE,mobile,B
193,2026-01-07,DE,desktop,B
194,2026-01-17,FR,desktop,A
195,2026-01-20,US,mobile,B
196,2026-01-29,UK,desktop,B
197,2026-01-04,UK,mobile,A
198,2026-01-30,UK,mobile,A
199,2026-01-05,DE,mobile,B
200,2026-01-23,DE,desktop,A
201,2026-01-07,DE,desktop,B
